,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,18/06/2019 - 08:44:11,7,251,503,248,252,2.028225806451613,98.80478087649402,61.59249193548387,81.46655971475657,0,0,[13],[]
0,18/06/2019 - 08:48:22,7,250,522,245,272,2.130612244897959,98.0,11.035624489795918,19.676297736155785,0,0,[13],[]
0,18/06/2019 - 13:37:34,8,250,524,251,274,2.087649402390438,100.4,131.55402788844623,117.18224945999798,1,1,"[13, 7]",[17]
0,18/06/2019 - 13:39:52,8,251,427,253,176,1.6877470355731226,100.79681274900398,134.97640316205533,137.57755552657383,0,0,[13],[]
0,18/06/2019 - 13:42:04,8,251,461,252,210,1.8293650793650793,100.39840637450199,16.17517857142857,25.89082498110555,4,4,"[13, 9, 9, 11, 11]","[14, 15, 16, 16]"
0,18/06/2019 - 13:45:30,8,251,487,245,236,1.9877551020408164,97.60956175298804,139.68085714285715,131.12519790409374,2,2,"[13, 7, 3]","[12, 6]"
0,18/06/2019 - 13:48:46,8,251,441,258,190,1.7093023255813953,102.78884462151395,129.08349224806202,122.33501731543494,0,0,[13],[]
0,18/06/2019 - 13:51:17,8,251,544,239,293,2.276150627615063,95.2191235059761,130.58546025104602,126.887751100146,0,0,[13],[]
0,18/06/2019 - 13:54:00,8,251,479,247,228,1.9392712550607287,98.40637450199203,62.24315789473685,100.70950990750119,0,0,[13],[]
0,18/06/2019 - 13:58:03,8,250,498,245,248,2.0326530612244897,98.0,111.10318367346939,123.02717162153584,0,0,[13],[]
0,18/06/2019 - 14:01:51,7,251,529,246,278,2.1504065040650406,98.00796812749005,17.634552845528454,42.07298994878956,0,0,[13],[]
0,18/06/2019 - 14:04:36,7,250,582,240,332,2.425,96.0,119.98954583333334,107.1295260250315,0,0,[13],[]
0,18/06/2019 - 14:07:44,7,251,568,237,317,2.3966244725738397,94.42231075697211,14.995308016877637,23.905198798703754,0,0,[13],[]
0,18/06/2019 - 14:10:46,7,251,542,248,291,2.185483870967742,98.80478087649402,137.12327822580647,124.51999485520845,0,0,[13],[]
0,18/06/2019 - 14:17:28,3,251,601,246,350,2.4430894308943087,98.00796812749005,106.48078861788616,94.97199669558161,0,0,[13],[]
0,18/06/2019 - 14:23:37,3,251,455,245,204,1.8571428571428572,97.60956175298804,118.27466530612244,120.52315312778491,0,0,[13],[]
0,18/06/2019 - 14:25:45,3,251,610,237,359,2.5738396624472575,94.42231075697211,42.75721518987342,52.56662662172923,0,0,[13],[]
0,18/06/2019 - 14:30:32,3,251,629,231,378,2.722943722943723,92.03187250996015,117.11155411255412,104.01648228459655,0,0,[13],[]
0,18/06/2019 - 14:35:05,3,251,557,250,306,2.228,99.60159362549801,118.854168,114.40272400859944,0,0,[13],[]
0,18/06/2019 - 14:38:54,1,250,297,250,47,1.188,100.0,110.10079999999999,138.5859195337535,0,0,[13],[]
0,18/06/2019 - 14:41:11,1,251,411,249,160,1.6506024096385543,99.20318725099602,66.13422891566265,105.52240838680099,0,0,[13],[]
0,18/06/2019 - 14:45:24,1,250,415,251,165,1.653386454183267,100.4,85.24167729083665,117.20215193214389,0,0,[13],[]
0,18/06/2019 - 14:47:43,1,251,412,264,161,1.5606060606060606,105.17928286852589,79.37577272727272,119.88442336157031,0,0,[13],[]
0,18/06/2019 - 14:51:33,8,250,525,251,275,2.091633466135458,100.4,56.75087649402389,72.5186113183541,0,0,[13],[]
0,18/06/2019 - 14:54:18,8,250,532,242,282,2.1983471074380163,96.8,94.71339256198347,103.42333790847701,0,0,[13],[]
0,18/06/2019 - 14:56:52,8,251,547,247,296,2.214574898785425,98.40637450199203,137.55356275303643,127.56885123304248,0,0,[13],[]
0,18/06/2019 - 15:00:25,8,251,568,240,317,2.3666666666666667,95.61752988047809,12.9148125,20.164635889406576,4,4,"[13, 6, 7, 6, 7]","[14, 15, 14, 12]"
