CMDLINE grcc TxRegular.grc
MEM 1.308594 1560203266.6495
MEM 37.726562 1560203266.7498
MEM 55.601562 1560203266.8501
MEM 55.601562 1560203266.9504
MEM 55.601562 1560203267.0507
MEM 55.601562 1560203267.1510
MEM 55.601562 1560203267.2512
MEM 55.601562 1560203267.3515
MEM 55.601562 1560203267.4518
MEM 55.601562 1560203267.5521
MEM 55.601562 1560203267.6523
MEM 55.601562 1560203267.7526
MEM 55.601562 1560203267.8528
MEM 55.601562 1560203267.9531
MEM 55.601562 1560203268.0534
MEM 55.601562 1560203268.1537
MEM 55.601562 1560203268.2540
MEM 55.601562 1560203268.3542
MEM 55.601562 1560203268.4545
MEM 55.601562 1560203268.5548
MEM 55.601562 1560203268.6551
MEM 55.601562 1560203268.7553
MEM 55.601562 1560203268.8556
MEM 55.601562 1560203268.9559
MEM 55.601562 1560203269.0562
MEM 60.191406 1560203269.1565
MEM 64.109375 1560203269.2568
MEM 67.906250 1560203269.3571
MEM 71.390625 1560203269.4574
MEM 75.925781 1560203269.5577
MEM 80.316406 1560203269.6579
MEM 84.492188 1560203269.7582
MEM 88.078125 1560203269.8586
MEM 92.457031 1560203269.9588
MEM 96.480469 1560203270.0591
MEM 96.480469 1560203270.1595
MEM 97.125000 1560203270.2597
MEM 139.363281 1560203270.3601
MEM 159.000000 1560203270.4605
MEM 189.441406 1560203270.5609
MEM 207.640625 1560203270.6612
MEM 210.613281 1560203270.7615
MEM 234.835938 1560203270.8618
MEM 260.500000 1560203270.9621
MEM 265.074219 1560203271.0626
MEM 275.113281 1560203271.1628
MEM 288.511719 1560203271.2632
MEM 293.546875 1560203271.3635
MEM 303.085938 1560203271.4639
MEM 306.464844 1560203271.5642
MEM 308.121094 1560203271.6645
MEM 308.136719 1560203271.7648
MEM 312.105469 1560203271.8651
MEM 312.105469 1560203271.9654
MEM 312.105469 1560203272.0657
MEM 316.078125 1560203272.1660
MEM 316.292969 1560203272.2663
MEM 319.132812 1560203272.3666
MEM 321.972656 1560203272.4670
MEM 322.957031 1560203272.5673
MEM 323.191406 1560203272.6676
MEM 324.937500 1560203272.7680
MEM 329.953125 1560203272.8683
