,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas,timestamp,avgGain,std,length,,avg gain,avg envios efetivos,,custo energ
0,29/09/2019 - 08:52:51,5 etx,251,501,246,250,2.03658536585366,98.00796812749,18.5869634146341,41.0843261696688,0,0,[13],[],29/09/2019 - 08:52:51,55194,3.4058573076393,500,,55.0554019889649,518.25,,28532.462080781
0,29/09/2019 - 08:55:02,5,250,530,242,280,2.1900826446281,96.8,25.4132438016529,45.2679383458667,0,0,[13],[],29/09/2019 - 08:55:02,55.6531190926276,1.70951543201048,529,,,,,
0,29/09/2019 - 08:57:34,5,251,534,246,283,2.17073170731707,98.00796812749,9.02439430894309,9.31099571901308,0,0,[13],[],29/09/2019 - 08:57:34,55.1013133208255,1.81342661798822,533,,,,,
0,29/09/2019 - 08:59:51,5,250,508,248,258,2.04838709677419,99.2,47.9518548387097,81.1779172957703,0,0,[13],[],29/09/2019 - 08:59:51,54.2731755424063,1.79656432325897,507,,,,,
0,29/09/2019 - 09:02:42,3 prr,250,720,210,470,3.42857142857143,84,7.76039523809524,8.35712605254178,0,0,[13],[],29/09/2019 - 09:02:42,52.4847009735744,2.33032160080024,719,,52.7095051824138,720,,37950.8437313379
0,29/09/2019 - 09:04:46,3,250,717,212,467,3.38207547169811,84.8,22.1638396226415,36.7117927242852,0,0,[13],[],29/09/2019 - 09:04:46,52.7070530726257,2.61595392141586,716,,,,,
0,29/09/2019 - 09:07:14,3,250,723,214,473,3.3785046728972,85.6,66.8966261682243,78.6642484441958,0,0,[13],[],29/09/2019 - 09:07:14,52.5599030470914,2.87381113398453,722,,,,,
0,29/09/2019 - 09:10:14,3,250,716,210,466,3.40952380952381,84,8.41446666666667,9.85169899881105,0,0,[13],[],29/09/2019 - 09:10:14,53.0863636363636,2.66116319944161,715,,,,,
0,29/09/2019 - 09:12:44,8 lqm3 c cd,250,644,223,394,2.88789237668161,89.2,8.60686995515695,8.31611305840227,5,5,"[13, 6, 6, 6, 6, 6]","[16, 17, 11, 11, 11]",29/09/2019 - 09:12:44,53.601866251944,2.47183284969976,643,,53.8093317365672,596.666666666667,,32106.2346028184
0,29/09/2019 - 09:15:49,8,251,916,142,665,6.45070422535211,56.5737051792829,7.19967605633803,6.43485396876152,8,8,"[13, 5, 4, 5, 5, 2, 2, 2, 2]","[14, 6, 9, 9, 3, 3, 3, 3]",29/09/2019 - 09:15:49,54.0587431693989,10.1329363447534,915,,,,,
0,04/10/2019 - 08:46:39,8,251,577,213,326,2.708920187793427,84.86055776892431,8.78869014084507,7.710174232319248,8,8,"[29, 5, 3, 3, 3, 3, 4, 4, 1]","[13, 7, 6, 6, 6, 7, 8, 2]",04/10/2019 - 08:46:39,60.427083333333336,14.732131508533387,576,,,,,
0,04/10/2019 - 08:49:46,8,250,332,250,82,1328,100.0,27.342928,73.24803082236966,0,0,[29],[],04/10/2019 - 08:49:46,73.1737160120846,1.3857674581443202,331,,,,,
