,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas,,timestamp,avgGain,std,length,,custo energ,,
0,29/09/2019 - 10:31:33,1 max gain,250,892,189,642,4.71957671957672,75.6,32.726417989418,40.0144152522403,0,0,[13],[],,29/09/2019 - 10:31:33,88.9539842873176,1.37278067227212,891,,#VALOR!,,1 max gain
0,29/09/2019 - 10:34:02,1,251,861,194,610,4.43814432989691,77.2908366533865,7.36153608247423,8.33606062437373,0,0,[13],[],,29/09/2019 - 10:34:02,88.9523255813953,1.39727531739504,860,,#VALOR!,,1
0,29/09/2019 - 10:36:27,1,251,900,193,649,4.66321243523316,76.8924302788845,29.0513886010363,39.6740481342245,0,0,[13],[],,29/09/2019 - 10:36:21,88.9543937708565,1.36666582116716,899,,#VALOR!,,1
0,29/09/2019 - 10:54:15,1,251,867,191,616,4.53926701570681,76.0956175298805,37.9635863874346,52.6976601185507,0,0,[13],[],,29/09/2019 - 10:54:14,88.9526558891455,1.39243207381977,866,,#VALOR!,,1
0,29/09/2019 - 10:59:59,8,251,1501,0,1250,0,0,,,0,0,[13],[],,29/09/2019 - 10:59:59,52.7468333333333,0.122603584323171,1500,,#VALOR!,,8
0,29/09/2019 - 11:04:07,3 prr,251,938,166,687,5.65060240963855,66.1354581673307,5.98614457831325,4.16695821749223,0,0,[13],[],,29/09/2019 - 11:04:07,60.4554429028815,3.4762231312848,937,,#VALOR!,,3 prr
0,29/09/2019 - 11:07:37,3,251,947,164,696,5.77439024390244,65.3386454183267,20.9500182926829,29.1926679318861,0,0,[13],[],,29/09/2019 - 11:07:37,61.5813953488372,4.01480249424561,946,,#VALOR!,,3
0,29/09/2019 - 11:10:06,3,251,1045,161,794,6.49068322981367,64.1434262948207,5.10511801242236,3.98923970616934,0,0,[13],[],,29/09/2019 - 11:10:06,62.1230842911877,4.25111926534891,1044,,#VALOR!,,3
0,29/09/2019 - 11:14:05,5 etx,251,830,200,579,4.15,79.6812749003984,8.130355,7.42295980380973,0,0,[13],[],,29/09/2019 - 11:14:05,74.1308805790109,3.49942688004112,829,,#VALOR!,,5 etx
0,29/09/2019 - 11:16:45,5,251,893,193,642,4.62694300518135,76.8924302788845,7.29151295336788,6.06670463775428,0,0,[13],[],,29/09/2019 - 11:16:45,79.1039798206278,3.81429094840112,892,,#VALOR!,,5
0,29/09/2019 - 11:19:10,5,251,852,194,601,4.39175257731959,77.2908366533865,30.8493969072165,49.6659708716221,0,0,[13],[],,29/09/2019 - 11:19:10,73.1768507638073,3.4583316111053,851,,#VALOR!,,5
0,04/10/2019 - 09:30:58,8 lqm3 s cd,250,415,248,165,1.6733870967741935,99.2,11.02420564516129,10.42970094221308,0,0,[29],[],,04/10/2019 - 09:30:58,73.18900966183575,1.2394701357023301,414,,#VALOR!,,8 lqm3 wo CD
0,04/10/2019 - 09:34:31,8,250,488,244,238,2.0,97.6,41.81552868852459,78.74501594472137,0,0,[29],[],,04/10/2019 - 09:34:31,73.19815195071868,1.143011384081062,487,,#VALOR!,,8
0,04/10/2019 - 09:36:54,8,250,379,250,129,1516,100.0,43.442856,84.05827743223902,0,0,[29],[],,04/10/2019 - 09:36:54,73.18320105820106,1.2970008410937222,378,,#VALOR!,,8
0,04/10/2019 - 09:40:03,8,251,365,248,114,1.471774193548387,98.80478087649402,12.80616129032258,10.36832527607217,0,0,[29],[],,04/10/2019 - 09:40:03,73.18063186813187,1.3216404170391636,364,,#VALOR!,,
0,04/10/2019 - 09:06:29,8 lqm3 c cd,251,822,152,571,5.407894736842105,60.55776892430279,10.54378947368421,8.053248030283036,2,2,"[29, 10, 9]","[24, 25]",,04/10/2019 - 09:06:29,58.13520097442144,9.82987087293676,821,,#VALOR!,,8 with CD
0,04/10/2019 - 09:08:34,8,251,390,250,139,1.56,99.60159362549801,20.316792,59.24181805296606,0,0,[29],[],,04/10/2019 - 09:08:34,73.18508997429306,1.278579226197181,389,,#VALOR!,,8
0,04/10/2019 - 09:11:20,8,251,572,212,321,2.69811320754717,84.4621513944223,9.992014150943396,7.631065166802628,1,1,"[29, 7]",[19],,04/10/2019 - 09:11:20,63.22329246935202,12.253321163154967,571,,#VALOR!,,8
0,04/10/2019 - 09:13:24,8,251,506,231,255,2.1904761904761907,92.03187250996015,43.534571428571425,82.19741712204186,3,3,"[29, 7, 7, 7]","[20, 21, 21]",,04/10/2019 - 09:13:24,68.32673267326733,9.727763585433241,505,,#VALOR!,,8
