,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,14/09/2019 - 16:09:55,8,250,527,245,277,2.1510204081632653,98.0,20.342363265306123,45.32908062703818,4,4,"[13, 7, 7, 7, 6]","[15, 15, 16, 16]"
0,14/09/2019 - 16:35:00,8,250,461,248,211,1.8588709677419355,99.2,32.733838709677414,65.09830711017824,1,1,"[13, 7]",[13]
0,14/09/2019 - 16:37:02,8,251,440,248,189,1.7741935483870968,98.80478087649402,10.64470564516129,8.00219175357201,0,0,[13],[]
0,14/09/2019 - 16:39:22,3,250,644,219,394,2.9406392694063928,87.6,18.04580821917808,33.88140111500308,0,0,[13],[]
0,14/09/2019 - 16:42:15,3,251,702,220,451,3.190909090909091,87.64940239043824,8.818336363636362,7.734508659575043,0,0,[13],[]
0,14/09/2019 - 16:44:19,3,250,721,211,471,3.4170616113744074,84.39999999999999,8.026744075829384,8.166009752075716,0,0,[13],[]
0,14/09/2019 - 16:49:31,7,251,1501,0,1250,0.0,0.0,,,0,0,[13],[]
0,14/09/2019 - 18:00:59,7,251,1493,2,1242,746.5,0.796812749003984,9.999,7.213,0,0,[13],[]
0,14/09/2019 - 18:05:02,7,251,1495,2,1244,747.5,0.796812749003984,9.158999999999999,0.7399999999999993,0,0,[13],[]
0,14/09/2019 - 18:09:39,7,251,1494,3,1243,498.0,1.1952191235059761,14.636333333333335,2.8778181936243916,0,0,[13],[]
