,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,29/09/2019 - 08:52:51,5,251,501,246,250,2.0365853658536586,98.00796812749005,18.586963414634145,41.08432616966883,0,0,[13],[]
0,29/09/2019 - 08:55:02,5,250,530,242,280,2.190082644628099,96.8,25.413243801652893,45.2679383458667,0,0,[13],[]
0,29/09/2019 - 08:57:34,5,251,534,246,283,2.1707317073170733,98.00796812749005,9.02439430894309,9.310995719013075,0,0,[13],[]
0,29/09/2019 - 08:59:51,5,250,508,248,258,2.0483870967741935,99.2,47.951854838709686,81.17791729577034,0,0,[13],[]
0,29/09/2019 - 09:02:42,3,250,720,210,470,3.4285714285714284,84.0,7.760395238095238,8.357126052541782,0,0,[13],[]
0,29/09/2019 - 09:04:46,3,250,717,212,467,3.3820754716981134,84.8,22.16383962264151,36.71179272428524,0,0,[13],[]
0,29/09/2019 - 09:07:14,3,250,723,214,473,3.378504672897196,85.6,66.89662616822429,78.66424844419576,0,0,[13],[]
0,29/09/2019 - 09:10:14,3,250,716,210,466,3.4095238095238094,84.0,8.414466666666666,9.851698998811049,0,0,[13],[]
0,29/09/2019 - 09:12:44,8,250,644,223,394,2.8878923766816142,89.2,8.60686995515695,8.316113058402266,5,5,"[13, 6, 6, 6, 6, 6]","[16, 17, 11, 11, 11]"
0,29/09/2019 - 09:15:49,8,251,916,142,665,6.450704225352113,56.573705179282875,7.1996760563380295,6.434853968761518,8,8,"[13, 5, 4, 5, 5, 2, 2, 2, 2]","[14, 6, 9, 9, 3, 3, 3, 3]"
0,29/09/2019 - 09:18:28,8,251,732,216,481,3.388888888888889,86.05577689243027,22.978962962962964,38.61321421145058,2,2,"[13, 7, 7]","[16, 15]"
0,29/09/2019 - 09:20:31,8,251,625,232,374,2.6939655172413794,92.43027888446214,9.224508620689656,8.954224459087387,0,0,[13],[]
0,29/09/2019 - 09:23:42,8,251,962,147,711,6.54421768707483,58.56573705179283,59.295312925170066,71.56858201152355,1,1,"[13, 14]",[24]
0,29/09/2019 - 09:33:29,8,251,521,242,270,2.152892561983471,96.41434262948208,10.322929752066115,10.283632052004567,1,1,"[13, 6]",[13]
0,29/09/2019 - 09:54:28,8,250,688,225,438,3.057777777777778,90.0,53.41069777777778,62.1279273003498,0,0,[13],[]
0,29/09/2019 - 09:56:38,8,250,675,227,425,2.973568281938326,90.8,33.740762114537446,50.002962314148014,0,0,[13],[]
0,29/09/2019 - 09:58:41,8,250,620,237,370,2.6160337552742616,94.8,39.21906751054851,62.40593761574362,0,0,[13],[]
0,29/09/2019 - 10:00:56,8,250,615,236,365,2.6059322033898304,94.39999999999999,55.50093220338983,69.73325158674167,0,0,[13],[]
0,29/09/2019 - 10:08:10,1,251,409,249,158,1.642570281124498,99.20318725099602,61.51817269076305,101.09035260374004,0,0,[13],[]
0,29/09/2019 - 10:10:24,1,251,405,248,154,1.6330645161290323,98.80478087649402,11.001024193548387,9.64646749021305,0,0,[13],[]
0,29/09/2019 - 10:13:08,1,250,395,250,145,1.58,100.0,9.956076,10.802838915314066,0,0,[13],[]
