,rssi,prr,prr2,snr,txentrega,relacao,latencia-ms,potencia,estimation,diff-txentrega
0,-108.0642697285941,0.0,0.0,-5.640494561864347,0.0,0.0,0.0,45.0,1.0,0.0
1,-108.51067543577507,0.0,0.0,-7.394984191588937,0.0,0.0,999.0,45.0,1.0,0.0
2,-108.28526544894792,0.0,0.0,-5.568489803315562,0.0,0.0,999.0,45.0,1.0,0.0
3,-108.45660518569231,0.0,0.0,-6.029668181128737,0.0,0.0,999.0,45.0,1.0,0.0
4,-107.02095820262087,0.0,0.0,-6.490627875742643,0.0,0.0,999.0,45.0,1.0,0.0
6,-108.26438550491898,0.0,0.0,-4.896841918505007,0.0,0.0,999.0,45.0,1.0,0.0
7,-108.41227077783331,0.0,0.0,11.121646133171058,0.0,0.0,999.0,45.0,1.0,0.0
8,-108.62209237104686,0.0,0.0,-6.527329657994902,0.0,0.0,999.0,45.0,1.0,0.0
9,-95.82331885826146,0.0,0.0,-6.21452865487542,0.0,0.0,999.0,45.0,1.0,0.0
10,-107.1413866928735,0.0,0.0,-4.91508905908934,0.0,0.0,999.0,45.0,1.0,0.0
11,-107.65616585081436,0.0,0.0,-7.574686663145888,0.0,0.0,999.0,45.0,1.0,0.0
13,-108.06173518697456,0.0,0.0,-5.971973461035332,0.0,0.0,999.0,45.0,1.0,0.0
14,-108.41572361396429,0.0,0.0,-6.559969009584415,0.0,0.0,999.0,45.0,1.0,0.0
15,-106.95424198277028,0.0,0.0,5.83421867228778,0.0,0.0,999.0,45.0,1.0,0.0
17,-108.40840951785057,0.0,0.0,14.057083982308916,0.0,0.0,999.0,45.0,1.0,0.0
19,-108.33310569491933,0.0,0.0,1.8887342708737442,0.0,0.0,999.0,45.0,1.0,0.0
20,-108.24205418102915,0.0,0.0,-6.790406755541017,0.0,0.0,999.0,45.0,1.0,0.0
22,-108.13929296269438,0.0,0.0,-2.2233138709671705,0.0,0.0,999.0,45.0,1.0,0.0
23,-108.52294971474032,0.0,0.0,14.134122496180408,0.0,0.0,999.0,45.0,1.0,0.0
26,-108.59300482661692,0.0,0.0,-6.900016109693565,0.0,0.0,999.0,45.0,1.0,0.0
27,-108.02281450294387,0.0,0.0,-6.09406197481363,0.0,0.0,999.0,45.0,1.0,0.0
30,-108.33529032340066,0.0,0.0,-7.639496361116381,0.0,0.0,999.0,45.0,1.0,0.0
39,-108.59422241927885,0.0,0.0,11.495981878839554,0.0,0.0,999.0,45.0,1.0,0.0
40,-108.42584225268234,0.0,0.0,-6.526375869401956,0.0,0.0,999.0,45.0,1.0,0.0
43,-108.56928252010843,0.0,0.0,-4.0523148448454895,0.0,0.0,999.0,45.0,1.0,0.0
45,-108.3815013675967,0.0,0.0,-0.3167048436683787,0.0,0.0,999.0,45.0,1.0,0.0
49,-108.54938885000796,0.0,0.0,-6.2933325376736455,0.0,0.0,999.0,45.0,1.0,0.0
50,-106.11980329042193,0.0,0.0,-5.064520723361596,0.0,0.0,999.0,45.0,1.0,0.0
52,-108.51942322504598,0.0,0.0,4.612892431171179,0.0,0.0,999.0,45.0,1.0,0.0
54,-107.94472307413902,0.0,0.0,-6.546113297102332,0.0,0.0,999.0,45.0,1.0,0.0
56,-108.53339318151976,0.0,0.0,1.8716078815855823,0.0,0.0,999.0,45.0,1.0,0.0
58,-108.449156724886,0.0,0.0,-3.258703832090588,0.0,0.0,999.0,45.0,1.0,0.0
61,-108.50310835902815,0.0,0.0,-6.693248138220063,0.0,0.0,999.0,45.0,1.0,0.0
62,-108.38971790570936,0.0,0.0,-5.848610111824303,0.0,0.0,999.0,45.0,1.0,0.0
65,-108.04699641938885,0.0,0.0,-6.696311236692663,0.0,0.0,999.0,45.0,1.0,0.0
67,-108.12728860446121,0.0,0.0,-6.8440390109940985,0.0,0.0,999.0,45.0,1.0,0.0
68,-108.24995753322395,0.0,0.0,-5.657051997374762,0.0,0.0,999.0,45.0,1.0,0.0
69,-108.5271153082886,0.0,0.0,2.5666776378181155,0.0,0.0,999.0,45.0,1.0,0.0
70,-101.61183459427723,0.0,0.0,-5.923430962609861,0.0,0.0,999.0,45.0,1.0,0.0
71,-108.55857395817644,0.0,0.0,-6.034705733764621,0.0,0.0,999.0,45.0,1.0,0.0
72,-108.05523754145912,0.0,0.0,-5.8225530239506185,0.0,0.0,999.0,45.0,1.0,0.0
74,-106.56971707291923,0.0,0.0,-1.5511852301441476,0.0,0.0,999.0,45.0,1.0,0.0
75,-108.55597840576179,0.0,0.0,5.445111306564463,0.0,0.0,999.0,45.0,1.0,0.0
77,-108.46371150070885,0.0,0.0,-6.077769230167313,0.0,0.0,999.0,45.0,1.0,0.0
78,-108.47561779012192,0.0,0.0,-6.020715435717081,0.0,0.0,999.0,45.0,1.0,0.0
84,-108.56519473601124,0.0,0.0,-7.641029554731578,0.0,0.0,999.0,45.0,1.0,0.0
87,-108.53009877986322,0.0,0.0,-4.884853397983816,0.0,0.0,999.0,45.0,1.0,0.0
89,-108.25620680854277,0.0,0.0,-6.134687010874416,0.0,0.0,999.0,45.0,1.0,0.0
90,-108.46971363801883,0.0,0.0,7.1287489982234655,0.0,0.0,999.0,45.0,1.0,0.0
91,-108.13533672361984,0.0,0.0,14.421265558968432,0.0,0.0,999.0,45.0,1.0,0.0
92,-108.46914455354042,0.0,0.0,0.3299148219147343,0.0,0.0,999.0,45.0,1.0,0.0
94,-108.53769749977998,0.0,0.0,-7.015092876675311,0.0,0.0,999.0,45.0,1.0,0.0
95,-106.64019956834787,0.0,0.0,-5.932190511194666,0.0,0.0,999.0,45.0,1.0,0.0
96,-108.43015541477942,0.0,0.0,1.2162388494747565,0.0,0.0,999.0,45.0,1.0,0.0
98,-108.41471712336292,0.0,0.0,-4.872752032186272,0.0,0.0,999.0,45.0,1.0,0.0
101,-108.52002469532295,0.0,0.0,-4.9424169999673,0.0,0.0,999.0,45.0,1.0,0.0
102,-108.39530206592205,0.0,0.0,-6.580284717034661,0.0,0.0,999.0,45.0,1.0,0.0
104,-108.38088911571472,0.0,0.0,-5.066710081938707,0.0,0.0,999.0,45.0,1.0,0.0
106,-108.50524471477208,0.0,0.0,-1.3264376339482409,0.0,0.0,999.0,45.0,1.0,0.0
108,-108.51236288517643,0.0,0.0,-6.316028787664293,0.0,0.0,999.0,45.0,1.0,0.0
109,-108.3720624963594,0.0,0.0,9.610314375603679,0.0,0.0,999.0,45.0,1.0,0.0
110,-108.29937150458544,0.0,0.0,-4.844328866136324,0.0,0.0,999.0,45.0,1.0,0.0
111,-106.56833176024,0.0,0.0,8.893962115564937,0.0,0.0,999.0,45.0,1.0,0.0
113,-108.44892460880465,0.0,0.0,12.723377791232044,0.0,0.0,999.0,45.0,1.0,0.0
114,-108.47668400048643,0.0,0.0,-7.528019822615358,0.0,0.0,999.0,45.0,1.0,0.0
117,-107.2805044293916,0.0,0.0,-7.389406539024852,0.0,0.0,999.0,45.0,1.0,0.0
118,-108.49698720005735,0.0,0.0,-7.558888993719697,0.0,0.0,999.0,45.0,1.0,0.0
121,-108.36165364234915,0.0,0.0,-7.219977283801278,0.0,0.0,999.0,45.0,1.0,0.0
122,-108.64103153173636,0.0,0.0,-5.914093665243257,0.0,0.0,999.0,45.0,1.0,0.0
124,-108.55645039232843,0.0,0.0,-7.509549967680585,0.0,0.0,999.0,45.0,1.0,0.0
125,-108.41052625795989,0.0,0.0,-7.32545158045958,0.0,0.0,999.0,45.0,1.0,0.0
126,-106.61829802820364,0.0,0.0,13.935890196688476,0.0,0.0,999.0,45.0,1.0,0.0
127,-108.41583377442906,0.0,0.0,-5.9685350531882,0.0,0.0,999.0,45.0,1.0,0.0
128,-108.2881770528163,0.0,0.0,-9.669519193116804,0.0,0.0,999.0,45.0,1.0,0.0
134,-108.51143417964529,0.0,0.0,-4.9302425639182585,0.0,0.0,999.0,45.0,1.0,0.0
135,-107.90219396390634,0.0,0.0,-7.983305228127023,0.0,0.0,999.0,45.0,1.0,0.0
137,-108.5936242245287,0.0,0.0,-7.302391009946495,0.0,0.0,999.0,45.0,1.0,0.0
139,-106.63578502398693,0.0,0.0,-6.425250745988138,0.0,0.0,999.0,45.0,1.0,0.0
140,-108.57929352386023,0.0,0.0,-7.388782308696183,0.0,0.0,999.0,45.0,1.0,0.0
142,-108.35671645120094,0.0,0.0,14.412715725030244,0.0,0.0,999.0,45.0,1.0,0.0
143,-107.08969153138086,0.0,0.0,-4.898802638372132,0.0,0.0,999.0,45.0,1.0,0.0
144,-108.50584932232128,0.0,0.0,-8.650396340702482,0.0,0.0,999.0,45.0,1.0,0.0
145,-108.28076111401165,0.0,0.0,6.228798251408738,0.0,0.0,999.0,45.0,1.0,0.0
146,-108.25149391927843,0.0,0.0,11.297465172186186,0.0,0.0,999.0,45.0,1.0,0.0
147,-106.98705834288772,0.0,0.0,-6.22141182788231,0.0,0.0,999.0,45.0,1.0,0.0
149,-108.36178633243284,0.0,0.0,-6.011504806485374,0.0,0.0,999.0,45.0,1.0,0.0
150,-108.35106602532449,0.0,0.0,-1.1516778281398683,0.0,0.0,999.0,45.0,1.0,0.0
154,-108.50267277668934,0.0,0.0,-6.78733413998663,0.0,0.0,999.0,45.0,1.0,0.0
155,-107.92241779877556,0.0,0.0,-6.784760902057286,0.0,0.0,999.0,45.0,1.0,0.0
157,-100.09865238278921,0.0,0.0,13.54916239880587,0.0,0.0,999.0,45.0,1.0,0.0
159,-108.01032803850714,0.0,0.0,-7.851791787640344,0.0,0.0,999.0,45.0,1.0,0.0
161,-103.2062217508753,0.0,0.0,-7.2174312949214725,0.0,0.0,999.0,45.0,1.0,0.0
162,-108.27599845157164,0.0,0.0,-6.652354033414428,0.0,0.0,999.0,45.0,1.0,0.0
165,-108.45914161192005,0.0,0.0,-5.06805363358496,0.0,0.0,999.0,45.0,1.0,0.0
166,-108.44931784356098,0.0,0.0,-6.790028652647273,0.0,0.0,999.0,45.0,1.0,0.0
167,-108.55896497067933,0.0,0.0,5.464023714186958,0.0,0.0,999.0,45.0,1.0,0.0
170,-108.58467486412063,0.0,0.0,-5.753089361213776,0.0,0.0,999.0,45.0,1.0,0.0
171,-108.40909928955416,0.0,0.0,-6.126286514888365,0.0,0.0,999.0,45.0,1.0,0.0
177,-108.4171952735575,0.0,0.0,-8.276256474144963,0.0,0.0,999.0,45.0,1.0,0.0
179,-106.89240909082086,0.0,0.0,-6.328823819779905,0.0,0.0,999.0,45.0,1.0,0.0
181,-107.7332495037582,0.0,0.0,13.059469454233492,0.0,0.0,999.0,45.0,1.0,0.0
183,-102.21824264683396,0.0,0.0,-7.122935785905489,0.0,0.0,999.0,45.0,1.0,0.0
185,-108.4653008677498,0.0,0.0,-7.562058502645407,0.0,0.0,999.0,45.0,1.0,0.0
187,-108.5360245196806,0.0,0.0,-6.447665975948532,0.0,0.0,999.0,45.0,1.0,0.0
188,-108.56576331946613,0.0,0.0,-6.926748337471532,0.0,0.0,999.0,45.0,1.0,0.0
189,-108.27338992570786,0.0,0.0,-5.5975459716734175,0.0,0.0,999.0,45.0,1.0,0.0
190,-108.34240622496223,0.0,0.0,1.5373399610130378,0.0,0.0,999.0,45.0,1.0,0.0
191,-108.510840554569,0.0,0.0,-5.6495341482911865,0.0,0.0,999.0,45.0,1.0,0.0
192,-108.43194155683456,0.0,0.0,-5.801532091517192,0.0,0.0,999.0,45.0,1.0,0.0
194,-108.35653785252222,0.0,0.0,-7.239725791010642,0.0,0.0,999.0,45.0,1.0,0.0
195,-108.30055525147075,0.0,0.0,-7.246550777838927,0.0,0.0,999.0,45.0,1.0,0.0
196,-108.59521962672471,0.0,0.0,-7.10832785050768,0.0,0.0,999.0,45.0,1.0,0.0
197,-108.4011109615398,0.0,0.0,-2.2260529614949567,0.0,0.0,999.0,45.0,1.0,0.0
198,-107.93219313325486,0.0,0.0,-0.12364859611811052,0.0,0.0,999.0,45.0,1.0,0.0
199,-108.55567843656807,0.0,0.0,-6.7654696273178425,0.0,0.0,999.0,45.0,1.0,0.0
200,-108.45407274355554,0.0,0.0,-5.852240750605594,0.0,0.0,999.0,45.0,1.0,0.0
201,-108.17999768281099,0.0,0.0,-7.376408058889103,0.0,0.0,999.0,45.0,1.0,0.0
204,-108.60751708075857,0.0,0.0,11.376284442733116,0.0,0.0,999.0,45.0,1.0,0.0
205,-108.52536496048538,0.0,0.0,-5.83271299173605,0.0,0.0,999.0,45.0,1.0,0.0
206,-107.83503236605831,0.0,0.0,-5.473900615530511,0.0,0.0,999.0,45.0,1.0,0.0
207,-105.67132373205752,0.0,0.0,1.1919495582588442,0.0,0.0,999.0,45.0,1.0,0.0
208,-108.53739414378587,0.0,0.0,12.278515820815313,0.0,0.0,999.0,45.0,1.0,0.0
210,-108.3364161296772,0.0,0.0,-5.656849914498568,0.0,0.0,999.0,45.0,1.0,0.0
211,-107.14174341098972,0.0,0.0,-2.9408962139926307,0.0,0.0,999.0,45.0,1.0,0.0
212,-108.5728896118832,0.0,0.0,-6.691871781866663,0.0,0.0,999.0,45.0,1.0,0.0
213,-108.50430888105998,0.0,0.0,13.07591859794189,0.0,0.0,999.0,45.0,1.0,0.0
215,-108.1357869278517,0.0,0.0,-5.986804596082284,0.0,0.0,999.0,45.0,1.0,0.0
216,-106.45095529684956,0.0,0.0,1.879264223246636,0.0,0.0,999.0,45.0,1.0,0.0
217,-108.64487991772327,0.0,0.0,-6.637876772474581,0.0,0.0,999.0,45.0,1.0,0.0
218,-107.8326179090526,0.0,0.0,15.60070660613768,0.0,0.0,999.0,45.0,1.0,0.0
219,-108.51046070990546,0.0,0.0,-6.2955592740624216,0.0,0.0,999.0,45.0,1.0,0.0
221,-107.45354850509662,0.0,0.0,-6.639012955224812,0.0,0.0,999.0,45.0,1.0,0.0
222,-108.49104187856386,0.0,0.0,-6.1080408043229015,0.0,0.0,999.0,45.0,1.0,0.0
223,-108.03576428980507,0.0,0.0,-2.887112041049825,0.0,0.0,999.0,45.0,1.0,0.0
224,-108.42465944098792,0.0,0.0,-6.683458228924987,0.0,0.0,999.0,45.0,1.0,0.0
225,-108.44411029888431,0.0,0.0,-6.103248766777205,0.0,0.0,999.0,45.0,1.0,0.0
226,-105.81938992617329,0.0,0.0,-6.552178816441453,0.0,0.0,999.0,45.0,1.0,0.0
227,-108.21754496720031,0.0,0.0,-5.041870012097204,0.0,0.0,999.0,45.0,1.0,0.0
228,-107.98200537659744,0.0,0.0,-7.277974322462429,0.0,0.0,999.0,45.0,1.0,0.0
229,-108.08106445123023,0.0,0.0,-6.6120653221893075,0.0,0.0,999.0,45.0,1.0,0.0
230,-108.52160435068085,0.0,0.0,-6.344505488898128,0.0,0.0,999.0,45.0,1.0,0.0
231,-107.89513138857583,0.0,0.0,-7.536095316067255,0.0,0.0,999.0,45.0,1.0,0.0
232,-102.60333971320699,0.0,0.0,5.897622428895959,0.0,0.0,999.0,45.0,1.0,0.0
233,-108.475434809671,0.0,0.0,11.889641051453776,0.0,0.0,999.0,45.0,1.0,0.0
234,-108.43775522798944,0.0,0.0,-6.701773052604241,0.0,0.0,999.0,45.0,1.0,0.0
235,-108.47121272771945,0.0,0.0,-7.9620990859779255,0.0,0.0,999.0,45.0,1.0,0.0
236,-103.48129638060284,0.0,0.0,15.57792889095848,0.0,0.0,999.0,45.0,1.0,0.0
237,-108.5574610423685,0.0,0.0,-7.594676595183866,0.0,0.0,999.0,45.0,1.0,0.0
238,-108.52804007304128,0.0,0.0,-6.7459135057774375,0.0,0.0,999.0,45.0,1.0,0.0
239,-108.56113832812763,0.0,0.0,-6.467333874302588,0.0,0.0,999.0,45.0,1.0,0.0
240,-108.445519844496,0.0,0.0,-5.235583342268578,0.0,0.0,999.0,45.0,1.0,0.0
241,-108.3739022476075,0.0,0.0,-4.809247884131858,0.0,0.0,999.0,45.0,1.0,0.0
242,-108.54667175319084,0.0,0.0,-7.457190080050767,0.0,0.0,999.0,45.0,1.0,0.0
243,-108.37591524096688,0.0,0.0,-7.1893172652028525,0.0,0.0,999.0,45.0,1.0,0.0
